,,,,,,,,
,ETH Belgrade,June 3,June 8,"Belgrade, SRB",ethbelgrade.rs/,ethbelgrade,t.me/+JHSH1qc-W85kYzdk,
,Non Fungible Conference*,June 4,June 6,"Lisbon, PRT",nonfungibleconference.com,NFCsummit,t.me/+fFoOkb5AxvVlMTc8 ,
,ETHMilan,June 24,June 24,"Milan, ITALY",ethmilan.xyz,eth_milano,t.me/+OAiy2dgrSNFiMjZk,
,EthereumBrasil,June 9,June 10,"São Paulo, BR",https://ethereumbrasil.com,ethereum_brasil,-,
,Offscript,June 11,June 15,"San Miguel de Allende, MX",offscript.web3creatives.com/,Offscript9,,
,ProtocolBerg,June 12,June 13,"Berlin, GER",protocol.berlin,protocol_berg,#protocol:dod.ngo,
,ETHKyiv,June 13,June 15,"Kyiv, Ukraine",ethkyiv.com,ethkyiv_ua,https://t.me/ethkyiv_ua,
,DappCon,June 16,June 18,"Berlin, GER",dappcon.io,dappcon_berlin,t.me/+o5WWGy1HZek0ZDAy,
,NFT NYC*,June 23,June 25,"NYC, USA",nft.nyc,NFT_NYC,t.me/joinchat/ZKy4Ny0R0Z0wZTlh,
,Permissionless IV,June 24,June 26,"Brooklyn, NYC, USA",blockworks.co/event/permissionless-iv,Blockworks_,-,
,ETHCluj,June 26,June 28,"Cluj-Napoca, ROU",ethcluj.org,ETHCluj,https://t.me/ethcluj,
,EthCC,June 30,July 3,"Cannes, FR",ethcc.io,ethcc,t.me/ethccweek,
,EthCCweek,July,July,"Cannes, FR",ethccweek.fr/,EthCCWeek,t.me/ethccweek,
,Pragma Cannes,July 3,July 3,"Cannes, FR",ethglobal.com/events/pragma-cannes,ethglobal,ethglobal.com/discord,
,ETHGlobal Cannes,July 4,July 6,"Cannes, FR",ethglobal.com/events/cannes,ethglobal,ethglobal.com/discord,
,ETHVietnam 2025,August 9,August 10,"HCMC, VNM",eth-vietnam.com,eth.vietnam,t.me/Ethvietnamcommunity,
,Pragma New York,August 14,August 14,"New York, NYC, USA",ethglobal.com/events/pragma-newyork2025,ethglobal,ethglobal.com/discord,
,ETH Enugu ‘25,August 4,August 16,"Enugu, NG",ethenugu.xyz,https://x.com/Eth_Enugu,t.me/Eth_Enugu,
,NapulETH,July 16,July 19,"Naples, ITA",napuleth.org/,napuleth,t.me/NapulETH ,
,SBC (The Science of Blockchain Conference 2025),August 4,August 6,"Berkeley, USA",sbc-conference.com/2025/,-,-,
,Frontiers 2025,August,August,"San Francisco, US",frontiers.paradigm.xyz/,-,-,
,ETH Latam,November 8,November 9,"São Paulo, BR",https://ethlatam.org/en,ethlatam,ETHLatam,
,ETHGlobal New York,August 15,August 17,"New York, NYC, USA",https://ethglobal.com/events/newyork2025,ethglobal,ethglobal.com/discord,
,Web3 Lagos Conference,August 28,August 30,"Lagos, NGA",event.web3bridge.com ,Web3Bridge,t.me/web3bridge ,
,Builders Week Istanbul,September 1,September 7,"Istanbul, TR",buildersweekistanbul.com/,buildersweekist,t.me/buildersweekist,
,Cryptist,September 1,September 1,"Istanbul, TR",https://cryptist.org/,https://x.com/cryptistanbul,https://t.me/cryptist2023,
,EthAccra,September 3,September 6,"Accra, GHA",ethaccra.xyz,ETHAccra,t.me/+7ClMFsYpii05NGQ0,
,ETHWarsaw,September 4,September 7,"Warsaw, POL",ethwarsaw.dev,ethwarsaw,t.me/joinethwarsaw,
,EthIstanbul,September 5,September 7,"Istanbul, TR",https://ethistanbul.io/,https://x.com/ETHIstanbul_io,https://t.me/ETHIstanbul_io,
,Ethsafari,September 7,September 14,"Nairobi, KEN",g.co/kgs/gQYT2iY,ETHSafari,https://t.me/ethsafari,
,Boston Blockchain Week,September 8,September 11,"Quincy, Massachusetts, USA",https://bostonblockchainweek.com/,blockchainwk,-,
,ETH Boston,September 9,September 12,"Boston, USA",bostonblockchainweek.com/,blockchainwk,N/a yet,
,ETHTokyo,September 12,September 15,"Tokyo, JAP",lu.ma/eth-tokyo,Ethereum_JP,,
,ETHSofia,September 23,September 25,"Sofia, BGR",ethsofia.com,EthSofiaBG,t.me/+_i70pgfFHjBkMjZk,
,Pragma New Delhi,September 25,September 25,"New Delhi, IND",ethglobal.com/events/pragma-newdelhi,ethglobal,ethglobal.com/discord,
,ETHGlobal New Delhi,September 26,September 28,"New Delhi, IND",ethglobal.com/events/newdelhi,ethglobal,ethglobal.com/discord,
,TOKEN2049 Singapore*,October 1,October 2,"Singapore, SGP",asia.token2049.com/,token2049,t.me/token2049official,
,ProtoLayers Conference,October 11,October 11,"Prague, CZ",lu.ma/protolayersprague,ProtoLayers,-,
,Encode London 2025,October 24,October 26,"London, UK",lu.ma/Encode-London-25/?utm_source=jpx10i&utm_campaign=e0592_internal&utm_content=eventplatform,encodeclub,-,
,ETHRome Hackathon,October,October,"Rome, ITA",ethrome.org,ETHRome,-,
,DevConnect,November 17,November 22,"Buenos Aires, ARG",devconnect.org,EFDevconnect,t.me/efdevconnect ,
,,,,,,,,
,,,,,,,,
,Last update:,May 2,,,,,,
,*not ethereum-specific events,,,,,,,
